"ДАТА","ТИП","СО СЧЁТА","НА СЧЁТ / НА КАТЕГОРИЮ","СУММА","ВАЛЮТА","СУММА 2","ВАЛЮТА 2","МЕТКИ","ЗАМЕТКИ"
"17.11.21","Расход","Jusan Медет","Необязательное (Продукты)","230","KZT","230","KZT","",""
"17.11.21","Расход","Сбербанк Айкумiс","Автобус (Транспорт)","80","KZT","80","KZT","",""
"17.11.21","Перевод","Сбербанк Айкумiс","Kaspi Медет ","5000","KZT","5000","KZT","",""
"17.11.21","Перевод","Сбербанк Айкумiс","Наличные Айкумiс ","2000","KZT","2000","KZT","",""
"17.11.21","Перевод","Сбербанк Айкумiс","Kaspi Айкумiс ","10000","KZT","10000","KZT","",""
"17.11.21","Перевод","Kaspi Медет ","Kaspi Айкумiс ","650","KZT","650","KZT","",""
"17.11.21","Расход","Наличные Айкумiс ","Такси (Транспорт)","310","KZT","310","KZT","",""
"16.11.21","Расход","Сбербанк Айкумiс","Продукты","760","KZT","760","KZT","","Адине"
"16.11.21","Расход","Jusan Медет","Общие (Платежи)","200","KZT","200","KZT","","Комиссия"
"16.11.21","Расход","Kaspi Медет ","Такси (Транспорт)","350","KZT","350","KZT","",""
"16.11.21","Перевод","Jusan Медет","Kaspi Медет ","1000","KZT","1000","KZT","",""
"15.11.21","Расход","Наличные Айкумiс ","Продукты","600","KZT","600","KZT","","Вода"
"15.11.21","Расход","Jusan Медет","Необходимое (Продукты)","1452","KZT","1452","KZT","",""
"13.11.21","Расход","Сбербанк Айкумiс","Досуг","1895","KZT","1895","KZT","","Пиво"
"13.11.21","Расход","Сбербанк","Кредит (Платежи)","64157.17","KZT","64157.17","KZT","",""
"12.11.21","Расход","Kaspi Медет ","Разное (Покупки)","4500","KZT","4500","KZT","",""
"12.11.21","Перевод","Сбербанк Айкумiс","Наличные Айкумiс ","1000","KZT","1000","KZT","",""
"12.11.21","Расход","Kaspi Айкумiс ","Здоровье","6450","KZT","6450","KZT","","Витамины"
"12.11.21","Расход","Kaspi Айкумiс ","Необязательное (Продукты)","600","KZT","600","KZT","","Пироженое"
"12.11.21","Расход","Kaspi Айкумiс ","Такси (Транспорт)","700","KZT","700","KZT","",""
"12.11.21","Перевод","Halyk Айкумiс ","Kaspi Айкумiс ","530","KZT","530","KZT","",""
"12.11.21","Расход","Jusan Медет","Необходимое (Продукты)","300","KZT","300","KZT","",""
"12.11.21","Расход","Jusan Медет","Автобус (Транспорт)","80","KZT","80","KZT","",""
"12.11.21","Расход","Jusan Медет","Разное (Покупки)","2970.74","KZT","2970.74","KZT","",""
"12.11.21","Расход","Jusan Медет","Необязательное (Продукты)","200","KZT","200","KZT","","Кола"
"12.11.21","Расход","Jusan Медет","Продукты","400","KZT","400","KZT","","Вода"
"12.11.21","Перевод","Kaspi Медет ","Kaspi Айкумiс ","830","KZT","830","KZT","",""
"11.11.21","Доход","Kaspi Медет ","Подработка","50000","KZT","50000","KZT","",""
"11.11.21","Расход","Kaspi Айкумiс ","Такси (Транспорт)","600","KZT","600","KZT","",""
"11.11.21","Расход","Kaspi Айкумiс ","Досуг","800","KZT","800","KZT","","Закуски"
"11.11.21","Расход","Halyk Айкумiс ","Разное (Покупки)","2407","KZT","2407","KZT","","Книги"
"11.11.21","Расход","Halyk Айкумiс ","Автобус (Транспорт)","80","KZT","80","KZT","",""
"11.11.21","Расход","Jusan Медет","Продукты","190","KZT","190","KZT","","Кетчуп"
"11.11.21","Расход","Jusan Медет","Продукты","209","KZT","209","KZT","","Вода"
"11.11.21","Расход","Kaspi Медет ","Автобус (Транспорт)","400","KZT","400","KZT","",""
"10.11.21","Перевод","Halyk Айкумiс ","Кошелёк ","20000","KZT","20000","KZT","",""
"10.11.21","Перевод","Kaspi Айкумiс ","Кошелёк ","20000","KZT","20000","KZT","",""
"10.11.21","Расход","Kaspi Медет ","Для дома  (Покупки)","140000","KZT","140000","KZT","","Балкон"
"10.11.21","Расход","Jusan Медет","Необходимое (Продукты)","3011","KZT","3011","KZT","",""
"10.11.21","Перевод","Кошелёк ","Kaspi Медет ","140000","KZT","140000","KZT","",""
"10.11.21","Расход","Jusan Медет","Продукты","480","KZT","480","KZT","","Яйца"
"10.11.21","Расход","Kaspi Медет ","Продукты","720","KZT","720","KZT","","Обед"
"09.11.21","Расход","Jusan Медет","Продукты","453","KZT","453","KZT","","Фрукты"
"08.11.21","Расход","Сбербанк Айкумiс","Автобус (Транспорт)","160","KZT","160","KZT","",""
"08.11.21","Расход","Kaspi Айкумiс ","Необходимое (Продукты)","130","KZT","130","KZT","","Вода"
"08.11.21","Расход","Kaspi Айкумiс ","Уход за собой","3000","KZT","3000","KZT","","Маникур"
"08.11.21","Расход","Kaspi Айкумiс ","Такси (Транспорт)","480","KZT","480","KZT","",""
"08.11.21","Перевод","Halyk Медет","Мажорский телик","11478.33","KZT","11478.33","KZT","",""
"08.11.21","Перевод","Halyk Медет","Бытовая техника","19248.96","KZT","19248.96","KZT","",""
"08.11.21","Расход","Наличные Медет ","Копилка","100","KZT","100","KZT","",""
"08.11.21","Расход","Jusan Медет","Продукты","330","KZT","330","KZT","","Молоко"
"08.11.21","Доход","Kaspi Медет ","Подработка","3000","KZT","3000","KZT","",""
"08.11.21","Перевод","Kaspi Медет ","Kaspi Айкумiс ","31000","KZT","31000","KZT","",""
"08.11.21","Перевод","Кошелёк ","Kaspi Медет ","30000","KZT","30000","KZT","",""
"08.11.21","Перевод","Halyk Айкумiс ","Halyk Медет","30800","KZT","30800","KZT","",""
"07.11.21","Расход","Jusan Медет","Здоровье","2367","KZT","2367","KZT","",""
"07.11.21","Расход","Сбербанк Айкумiс","Необходимое (Продукты)","565","KZT","565","KZT","","Хлеб",""
"07.11.21","Расход","Kaspi Медет ","Уход за собой","4000","KZT","4000","KZT","","Стрижка кота"
"07.11.21","Перевод","Kaspi Айкумiс ","Kaspi Медет ","2000","KZT","2000","KZT","",""
"07.11.21","Расход","Halyk Айкумiс ","Кафе","2270","KZT","2270","KZT","","Обед"
"06.11.21","Расход","Kaspi Медет ","Автобус (Транспорт)","80","KZT","80","KZT","",""
"06.11.21","Расход","Kaspi Медет ","Такси (Транспорт)","800","KZT","800","KZT","",""
"06.11.21","Расход","Kaspi Медет ","Необязательное (Продукты)","970","KZT","970","KZT","",""
"06.11.21","Доход","Kaspi Медет ","Подработка","1500","KZT","1500","KZT","",""
"06.11.21","Расход","Наличные Медет ","Такси (Транспорт)","2000","KZT","2000","KZT","","Рудный"
"05.11.21","Расход","Jusan Медет","Досуг","1845","KZT","1845","KZT","","Пиво"
"05.11.21","Расход","Jusan Медет","Продукты","1116","KZT","1116","KZT","","Береке"
"05.11.21","Доход","Halyk Айкумiс ","Пособие ","54832","KZT","54832","KZT","",""
"05.11.21","Перевод","Kaspi Медет ","Jusan Медет","1000","KZT","1000","KZT","",""
"05.11.21","Расход","Kaspi Медет ","Такси (Транспорт)","400","KZT","400","KZT","",""
"04.11.21","Расход","Сбербанк Айкумiс","Для дома  (Покупки)","3075","KZT","3075","KZT","","Посуда"
"04.11.21","Расход","Наличные Медет ","Продукты","320","KZT","320","KZT","","Вода"
"04.11.21","Расход","Kaspi Медет ","Коммунальные (Платежи)","4430.08","KZT","4430.08","KZT","","Мусор"
"04.11.21","Расход","Jusan Медет","Коммунальные (Платежи)","1442.15","KZT","1442.15","KZT","","Интернет "
"03.11.21","Перевод","Kaspi Медет ","Кошелёк ","27000","KZT","27000","KZT","",""
"03.11.21","Расход","Jusan Медет","Необязательное (Продукты)","300","KZT","300","KZT","","Сок"
"02.11.21","Расход","Kaspi Медет ","Такси (Транспорт)","600","KZT","600","KZT","",""
"02.11.21","Перевод","Kaspi Медет ","Kaspi Айкумiс ","5000","KZT","5000","KZT","",""
"02.11.21","Расход","Kaspi Айкумiс ","Кафе","3000","KZT","3000","KZT","","Тандыр"
"02.11.21","Расход","Kaspi Медет ","Такси (Транспорт)","600","KZT","600","KZT","",""
"02.11.21","Перевод","Kaspi Медет ","Кошелёк ","3000","KZT","3000","KZT","",""
"02.11.21","Доход","Kaspi Медет ","Подработка","3000","KZT","3000","KZT","",""
"02.11.21","Перевод","Kaspi Медет ","Наличные Медет ","2000","KZT","2000","KZT","",""
"02.11.21","Перевод","Kaspi Медет ","Сбербанк","63000","KZT","63000","KZT","",""
"02.11.21","Перевод","Kaspi Медет "," Ipont","16203","KZT","16203","KZT","",""
"02.11.21","Доход","Kaspi Медет ","Разное","3000","KZT","3000","KZT","","Процент по депозиту"
"02.11.21","Перевод","Kaspi Медет ","Кошелёк ","10500","KZT","10500","KZT","",""
"02.11.21","Расход","Jusan Медет","Общие (Платежи)","150","KZT","150","KZT","","Комиссия "
"02.11.21","Перевод","Jusan Медет","Kaspi Медет ","130000","KZT","130000","KZT","",""
"02.11.21","Расход","Jusan Медет","Автобус (Транспорт)","80","KZT","80","KZT","",""
"01.11.21","Расход","Kaspi Медет ","Такси (Транспорт)","400","KZT","400","KZT","",""
"01.11.21","Расход","Сбербанк Айкумiс","Здоровье","2175","KZT","2175","KZT","",""
"01.11.21","Расход","Сбербанк Айкумiс","Продукты","510","KZT","510","KZT","","Береке"
"01.11.21","Расход","Jusan Медет","Необходимое (Продукты)","11189","KZT","11189","KZT","","Астыкжан"
"01.11.21","Доход","Jusan Медет","Зарплата Медет","168870.21","KZT","168870.21","KZT","",""
"01.11.21","Расход","Kaspi Медет ","Такси (Транспорт)","520.39","KZT","520.39","KZT","",""
"01.11.21","Расход","Kaspi Медет ","Такси (Транспорт)","600","KZT","600","KZT","",""
"01.11.21","Перевод","Кошелёк ","Kaspi Медет ","500","KZT","500","KZT","",""
"01.11.21","Расход","Наличные Медет ","Досуг","1000","KZT","1000","KZT","","Пиво"
"01.11.21","Перевод","Наличные Айкумiс ","Наличные Медет ","1300","KZT","1300","KZT","",""
"31.10.21","Расход","Сбербанк Айкумiс","Необходимое (Продукты)","4132","KZT","4132","KZT","","Астыкжан"
"31.10.21","Расход","Сбербанк Айкумiс","Кафе","500","KZT","500","KZT","",""
"31.10.21","Расход","Halyk Айкумiс ","Автобус (Транспорт)","80","KZT","80","KZT","",""
"31.10.21","Расход","Halyk Айкумiс ","Кафе","400","KZT","400","KZT","","Чай"
"31.10.21","Расход","Kaspi Медет ","Такси (Транспорт)","540","KZT","540","KZT","",""
"31.10.21","Расход","Наличные Айкумiс ","Продукты","700","KZT","700","KZT","",""
"31.10.21","Расход","Halyk Медет","Общие (Платежи)","50","KZT","50","KZT","","Обслуживание "
"31.10.21","Расход","Kaspi Медет ","Продукты","180","KZT","180","KZT","","Вода "
