ДАТА;ТИП;СО СЧЁТА;НА СЧЁТ / НА КАТЕГОРИЮ;СУММА;ВАЛЮТА;СУММА 2;ВАЛЮТА 2;МЕТКИ;ЗАМЕТКИ
27.11.2021;Перевод;Наличные Медет;Наличные Айкумiс;50;KZT;50;KZT;;
24.11.2021;Расход;Наличные Медет;Питание (Еда);450;KZT;450;KZT;;Самса
21.11.2021;Расход;Наличные Медет;Коррекция;65;KZT;65;KZT;;
21.11.2021;Расход;Наличные Медет;Копилка;150;KZT;150;KZT;;
21.11.2021;Расход;Наличные Медет;Необходимое (Еда);200;KZT;200;KZT;;Вода
08.11.2021;Расход;Наличные Медет;Копилка;100;KZT;100;KZT;;
06.11.2021;Расход;Наличные Медет;Такси (Транспорт);2000;KZT;2000;KZT;;Рудный
04.11.2021;Расход;Наличные Медет;Продукты;320;KZT;320;KZT;;Вода
01.11.2021;Расход;Наличные Медет;Алкоголь (Досуг);1000;KZT;1000;KZT;;Пиво
