ДАТА;ТИП;СО СЧЁТА;НА СЧЁТ / НА КАТЕГОРИЮ;СУММА;ВАЛЮТА;СУММА 2;ВАЛЮТА 2;МЕТКИ;ЗАМЕТКИ
12.11.2021;Перевод;Halyk Айкумiс;Kaspi Айкумiс ;530;KZT;530;KZT;;
11.11.2021;Расход;Halyk Айкумiс;Разное (Покупки);2407;KZT;2407;KZT;;Книги
11.11.2021;Расход;Halyk Айкумiс;Автобус (Транспорт);80;KZT;80;KZT;;
10.11.2021;Перевод;Halyk Айкумiс;Кошелёк ;20000;KZT;20000;KZT;;
08.11.2021;Перевод;Halyk Айкумiс;Halyk Медет;30800;KZT;30800;KZT;;
07.11.2021;Расход;Halyk Айкумiс;Кафе (Досуг);2270;KZT;2270;KZT;;Обед
05.11.2021;Доход;Halyk Айкумiс;Пособие ;54832;KZT;54832;KZT;;
